warehouse_id,name,is_existing,open,fixed_cost_sek,opex_horizon_sek,capacity,lat,lon,on_time_rate,p_late,p_late_effective,vehicles_per_warehouse,shift_hours,vehicle_time_budget_h_per_day,vehicle_time_budget_h_week,cap_day
EW_1,Stockholm Hub,1,0,0,1016129.0322580645,48484.8,59.5095082190748,17.734396585524284,0.9620000000000001,0.03799999999999992,0.03799999999999992,10.0,8.0,0.0,0.0,6926.400000000001
EW_2,Eskilstuna FC,1,0,0,2145161.2903225804,46116.0,59.34404968053245,16.694307649744268,0.915,0.08499999999999996,0.08499999999999996,10.0,8.0,0.0,0.0,6588.0
NW_1,Barkarby Hub,0,0,815068,1083870.9677419355,48283.2,59.42,17.84,0.958,0.04200000000000004,0.04200000000000004,10.0,8.0,0.0,0.0,6897.599999999999
NW_2,Tumba Depot,0,0,747945,1038709.6774193548,47527.2,59.2,17.83,0.943,0.05700000000000005,0.05700000000000005,10.0,8.0,0.0,0.0,6789.599999999999
NW_3,Sollentuna FC,0,1,843835,1174193.5483870967,48636.0,59.48,17.95,0.965,0.03500000000000003,0.03500000000000003,10.0,8.0,80.0,560.0,6948.0
NW_4,Haninge Hub,0,0,786301,1106451.6129032257,46418.399999999994,59.17,18.13,0.9209999999999999,0.07900000000000007,0.07900000000000007,10.0,8.0,0.0,0.0,6631.199999999999
NW_5,Upplands Väsby,0,0,824657,1129032.2580645161,47880.0,59.52,17.91,0.95,0.050000000000000044,0.050000000000000044,10.0,8.0,0.0,0.0,6840.0
NW_6,Tyresö Depot,0,0,728767,1061290.322580645,45964.8,59.24,18.23,0.912,0.08799999999999997,0.08799999999999997,10.0,8.0,0.0,0.0,6566.400000000001
NW_7,Vallentuna FC,0,0,805479,1151612.9032258063,48384.0,59.53,18.08,0.96,0.040000000000000036,0.040000000000000036,10.0,8.0,0.0,0.0,6912.0
NW_8,Nynäshamn Hub,0,0,709589,1083870.9677419355,45612.0,58.91,17.95,0.905,0.09499999999999997,0.09499999999999997,10.0,8.0,0.0,0.0,6516.0
NW_9,Ekerö Depot,0,0,767123,1106451.6129032257,47224.8,59.32,17.75,0.937,0.06299999999999994,0.06299999999999994,10.0,8.0,0.0,0.0,6746.400000000001
NW_10,Värmdö FC,0,0,795890,1129032.2580645161,48182.399999999994,59.33,18.4,0.956,0.04400000000000004,0.04400000000000004,10.0,8.0,0.0,0.0,6883.199999999999
