warehouse_id,name,days,total_hours,avg_hours,avg_util,max_util
EW_1,Stockholm Hub,7,176.43674562444312,25.205249374920445,0.2100437447910037,0.2104291655893821
NW_3,Sollentuna FC,7,115.15436640413157,16.450623772018794,0.13708853143348992,0.1378143975887305
NW_1,Barkarby Hub,7,98.12611070417447,14.018015814882066,0.1168167984573505,0.1174542880300814
EW_2,Eskilstuna FC,7,46.65165209132111,6.6645217273315875,0.055537681061096515,0.0803121470970192
NW_10,Värmdö FC,7,0.0,0.0,0.0,0.0
NW_2,Tumba Depot,7,0.0,0.0,0.0,0.0
NW_4,Haninge Hub,7,0.0,0.0,0.0,0.0
NW_5,Upplands Väsby,7,0.0,0.0,0.0,0.0
NW_6,Tyresö Depot,7,0.0,0.0,0.0,0.0
NW_7,Vallentuna FC,7,0.0,0.0,0.0,0.0
NW_8,Nynäshamn Hub,7,0.0,0.0,0.0,0.0
NW_9,Ekerö Depot,7,0.0,0.0,0.0,0.0
